CheckBox,crime_code,crime_code_description
Homicide and Kidnape,1,CHILD STEALING
,1,CRIMINAL HOMICIDE
,1,KIDNAPPING
,1,KIDNAPPING - GRAND ATTEMPT
,1,DISCHARGE FIREARMS/SHOTS FIRED
,1,ARSON
Sexual Attack,2,SEXUAL PENTRATION WITH A FOREIGN OBJECT
,2,"RAPE, FORCIBLE"
,2,BATTERY WITH SEXUAL CONTACT
,2,PEEPING TOM
,2,STALKING
,2,"RAPE, ATTEMPTED"
,2,ORAL COPULATION
,2,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02
Robbery,3,ROBBERY
,3,BRANDISH WEAPON
,3,ATTEMPTED ROBBERY
,3,EXTORTION
,3,PURSE SNATCHING
Assault,4,BATTERY - SIMPLE ASSAULT
,4,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
,4,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
,4,INTIMATE PARTNER - AGGRAVATED ASSAULT
,4,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
,4,OTHER ASSAULT
,4,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
Burglary,5,BURGLARY FROM VEHICLE
,5,BIKE - STOLEN
,5,VEHICLE - STOLEN
,5,BURGLARY
,5,"BURGLARY FROM VEHICLE, ATTEMPTED"
,5,"BURGLARY, ATTEMPTED"
,5,VEHICLE - ATTEMPT STOLEN
Theft,6,THEFT PLAIN - PETTY ($950 & UNDER)
,6,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
,6,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
,6,"THEFT, PERSON"
,6,"BUNCO, PETTY THEFT"
,6,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
,6,PICKPOCKET
,6,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
,6,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
,6,THEFT PLAIN - ATTEMPT
,6,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
,6,THEFT FROM MOTOR VEHICLE - ATTEMPT